company,status,contact_or_link,source,last_action,date
Sonlight,approved-active-w9-needed,https://affiliate.sonlight.com/245.html,affiliate email,Approved and tracking link installed. Sonlight email requires completed W-9 sent to affiliate manager before commissions can be processed. Blank W-9 attachment found locally; do not send until EIN/address/signature details are complete.,2026-06-07
Masterbooks,approved-active,https://www.masterbooks.com/?acc=38d9ef8c111b6c90745ef07da6ebbe9e,mailbox approval,Already approved; website link installed.,2026-04-30 00:30
Moving Beyond the Page,approved-active,https://www.beyondthepage.com/purchase/choose-an-age-level.aspx?aID=8adad607,user provided affiliate link,Approved affiliate tracking link installed on Curriculum Compass.,2026-08-05
RightStart Math,outreach-sent-application-route,info@rightstartmath.com,https://rightstartmath.com/our-affiliate-program/ ; https://rightstartmath.com/contact-us/,Official affiliate application route verified; sent inquiry to official contact email asking for the right affiliate/referral path for The Curriculum Compass. Application may still be required.,2026-06-07
Apologia,outreach-sent-application-route,customerservice@apologia.com,https://www.apologia.com/become-an-affiliate/ ; https://www.apologia.com/contact-us/,Official brand ambassador/affiliate route verified; sent inquiry to official customer service contact asking for the right affiliate/referral path. Application may still be required.,2026-06-07
Time4Learning,outreach-sent-application-route,socialmedia@time4learning.com,https://www.time4learning.com/pages/affiliate-program ; https://www.time4learning.com/pages/time4learning-brand-ambassador-program,Official affiliate application form verified; sent inquiry to official brand ambassador/social contact asking for right affiliate/referral path. Application form may still be required.,2026-06-07
Simply Charlotte Mason,application-page,https://simplycharlottemason.com/affiliate-registration/,https://simplycharlottemason.com/affiliate-program/,Official affiliate application required.,2026-04-30 00:30
Timberdoodle,outreach-sent-ambassador-route,customerservice@timberdoodle.com,https://timberdoodle.com/articles/join-our-ambassador-team ; https://timberdoodle.com/contact,Official Ambassador Team Typeform verified; sent inquiry to official customer service contact asking for right affiliate/ambassador path. Form may still be required.,2026-06-07
Math-U-See / Demme Learning,no-affiliate-program,customerservice@demmelearning.com,https://demmelearning.com/support-center/do-you-have-an-affiliate-program/,Official FAQ says no affiliate program.,2026-04-30 00:30
Abeka,form-required-no-affiliate-email,https://www.abeka.com/Contact-Us,https://www.abeka.com/ContactInfo.aspx,No official affiliate application/email found. Official contact form is the best route; media email exists but is not appropriate for affiliate outreach.,2026-06-07
All About Reading / All About Spelling,outreach-sent-affiliate-route,affiliates@allaboutlearningpress.com,https://www.allaboutlearningpress.net/ ; https://www.allaboutlearningpress.net/signup.php ; https://www.allaboutlearningpress.net/contact.php,Official affiliate program and affiliate contact email verified; sent inquiry from info@thecurriculumcompass.com asking for correct affiliate/signup path.,2026-06-07
HMH / Saxon Math,form-required-no-email,https://www.hmhco.com/hmh-support,https://www.hmhco.com/programs/saxon-math ; https://learning.hmhco.com/contact-us-saxon-math,Official Saxon/HMH request-info/contact form verified; no direct affiliate or partnership email found. Needs form submission if pursuing further.,2026-06-07
Oak Meadow,partnership-form-required,https://www.oakmeadow.com/inquiry-form-for-partnerships/,https://www.oakmeadow.com/inquiry-form-for-partnerships/ ; https://www.oakmeadow.com/school-partnerships-and-collaborations/,Official partnership inquiry form verified; no direct partnership email found. Needs form submission/manual browser completion.,2026-06-07
Torchlight Curriculum,contact-form-required-no-email,https://torchlightcurriculum.com/torchlight/#contact,https://torchlightcurriculum.com/torchlight/ ; https://torchlightcurriculum.com/torchlight/affiliate-disclosure/,"No official affiliate application/email found. Official site contact form is best route; affiliate disclosure page is for Torchlight’s own affiliate links, not a publisher application.",2026-06-07
Kolbe Academy,partnership-appointment-required,https://www.kolbe.org/contact-us,https://www.kolbe.org/services/school-co-op-partnerships ; https://www.kolbe.org/book-an-appointment ; https://www.kolbe.org/contact-us,No official affiliate application found. Official school/co-op partnership appointment route verified; tech support email is not appropriate for affiliate/partnership outreach.,2026-06-07
Classical Conversations,outreach-sent,CCPR@classicalconversations.com,https://classicalconversations.com/media-contact/,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official PR contact for press/influencer/blogger requests,2026-04-30 00:30
Tapestry of Grace,outreach-sent,support@tapestryofgrace.com,https://tapestryofgrace.com/contact/,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official contact/support email,2026-04-30 00:30
BJU Press,outreach-sent,bjupinfo@bjupress.com,https://www.bjupresshomeschool.com/contact,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official general customer service email,2026-04-30 00:30
Rod and Staff,outreach-sent,office@milestonebooks.com,https://www.rodandstaffbooks.com/list/Contact_Us/,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official RodAndStaffBooks.com contact redirects to Milestone Books contact page,2026-04-30 00:30
IEW,outreach-sent,info@IEW.com,https://iew.com/support/contact-us,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official contact email,2026-04-30 00:30
Life of Fred,outreach-sent,comments@joycenter.on.ca,https://www.lifeoffred.uniquemath.com/,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official Life of Fred site contact email,2026-04-30 00:30
Alpha Omega Publications / Monarch / Switched-On Schoolhouse,outreach-sent,LIFEPAC@aop.com,https://aop.com/pages/contact-us,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official AOP contact page email; best available official inbox for homeschool curriculum inquiries,2026-04-30 00:30
ACE / Accelerated Christian Education,outreach-sent,HomeSchooling@aceschooloftomorrow.com,https://aceschooloftomorrow.com/contact,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official homeschooling department email,2026-04-30 00:30
Calvert Homeschool,outreach-sent,studentsupport@calverthomeschool.com,https://www.calverthomeschool.com/support/contact-us,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official support contact email,2026-04-30 00:30
Heart of Dakota,outreach-sent,carmikeaustin@msn.com,https://www.heartofdakota.com/contact/,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official Heart of Dakota contact email; corrected after prior info@ address bounced,2026-04-30 00:30
KONOS,outreach-sent,jessica@konos.com,https://konos.com/contact-us/,Sent affiliate/referral outreach email from info@thecurriculumcompass.com. Official support email,2026-04-30 00:30
Teaching Textbooks,outreach-already-sent,customerservice@teachingtextbooks.com,https://www.teachingtextbooks.com/contact-us,Official email verified; prior sent email exists in mailbox.,2026-04-30 00:30
Memoria Press,outreach-already-sent,sales@memoriapress.com,https://www.memoriapress.com/support/contact-us/,Official email verified; prior sent email exists in mailbox.,2026-04-30 00:30
Veritas Press,case-opened,info@veritaspress.com,https://veritaspress.com/referral,Support case CASE84523 opened from prior outreach; wait for reply.,2026-04-30 00:30
Notgrass History,outreach-already-sent,help@notgrass.com,https://shop.notgrass.com/contact,Official email verified; prior sent email exists in mailbox.,2026-04-30 00:30
The Good and the Beautiful,outreach-already-sent,support@goodandbeautiful.com,https://www.goodandbeautiful.com/pages/contact,Official email verified; prior sent email exists in mailbox.,2026-04-30 00:30
Five in a Row,outreach-already-sent,hollie.fiveinarow@gmail.com,https://fiveinarow.com/pages/contact,Official email verified; prior sent email exists in mailbox.,2026-04-30 00:30
Blossom and Root,outreach-already-sent,arlene@blossomandroot.com,https://www.blossomandroot.com/contact,Official contact verified; prior sent email exists in mailbox.,2026-04-30 00:30
Wildflowers and Marbles,outreach-already-sent,jennifer@wildflowersandmarbles.com,https://wildflowersandmarbles.com/contact/,Official email verified; prior sent email exists in mailbox.,2026-04-30 00:30
Brave Writer,outreach-already-sent,jeannette@bravewriter.com,https://bravewriter.com/about/contact-us,Official marketing email verified; prior sent email exists in mailbox.,2026-04-30 00:30
Trail Guide to Learning / Geography Matters,outreach-already-sent,info@geomatters.com,https://geomatters.com/pages/contact-us,Official email verified; prior sent email exists in mailbox.,2026-04-30 00:30
Ambleside Online,not-commercial-affiliate-fit,admin@amblesideonline.org,https://www.amblesideonline.org/contact/,"Free curriculum; no obvious affiliate program. Could send partnership/resource inquiry later, not monetization outreach.",2026-04-30 00:30
My Father’s World,contact-form-required-no-email,https://www.mfwbooks.com/support/contact,https://www.mfwbooks.com/support/contact ; https://www.mfwbooks.com/community/rewards,No official affiliate application/email found. Official contact form/rewards-account route verified; needs form/account completion if pursuing further.,2026-06-07
BookShark,outreach-sent,affiliates@bookshark.com,https://affiliate.bookshark.com/home,Sent affiliate/partnership inquiry from info@thecurriculumcompass.com. Official affiliate program and affiliate email verified.,2026-06-07
Miacademy,contact-form-required-no-email,https://miacademy.co/help/contact,https://parents.miacademy.co/help/contact ; https://miacademy.co/help/contact,No official affiliate application/email found. Official contact form route verified; no usable public business email.,2026-06-07
CTCMath,outreach-sent,info@ctcmath.com,https://www.ctcmath.com/contact,Sent affiliate/referral inquiry from info@thecurriculumcompass.com to official contact email.,2026-06-07
Logic of English,affiliate-route-blocked-no-email,https://logicofenglish.idevaffiliate.com/home,https://logicofenglish.com/pages/contact-us ; https://logicofenglish.idevaffiliate.com/home,Official affiliate program link verified from site footer; no affiliate email published. iDevAffiliate/contact flow blocked by bot/hCaptcha friction and needs manual browser completion.,2026-06-07
